1	Esther Yu	Huace Pictures	t
2	Xin Liu	AMG Asia Music Group	t
3	Yan Yu	Joinhall Media	t
4	Shaking	JNERA	t
5	Xiaotang Zhao	Mountaintop Entertainment	t
6	Babymonster An	Star Master Entertainment	t
7	Kiki Xu	Shanghai Star48 Culture Media Group	t
8	Snow Kong	Mountaintop Entertainment	t
9	Aria Jin	Yuehua Entertainment	t
10	Lingzi Liu	OACA	
11	NINEONE	WR/OC	
12	Sharon Wang	TPG Culture	
13	K Lu	TOV Entertainment	
14	Frhanm Shangquan	Star Master Entertainment	
15	Three	Shanghai Star48 Culture Media Group	
16	Jenny Zheng	OACA	
17	Flora Dai	Cool Young Entertainment	
18	Xinran Song	Shanghai Star48 Culture Media Group	
19	Roada Xu	Hot Idol	
20	Diamond	Shanghai Star48 Culture Media Group	
21	Xinwen Xu	Show City Times	
22	Momo	Shanghai Star48 Culture Media Group	
23	Eliwa Xu	Shanghai Star48 Culture Media Group	
24	Tako Zhang	Shanghai Star48 Culture Media Group	
25	Marco Lin	TOV Entertainment	
26	JOEY CHUA	Maninquin Entertainment	
27	Bunny Zhang	Independent Trainee	
28	Yu Zhang	D.Wang Entertainment	
29	Gia Ge	Gramarie Entertainment	
30	DDD	Shanghai Star48 Culture Media Group	
31	Bubble Zhang	Jaywalk Newjoy	
32	Meddhi Fu	M.Nation	
33	Hana Lin	Good@ Media	
34	Jue Chen	Independent Trainee	
35	Juicy Zuo	Bymoon Entertainment	
